json_answer,url
"{
                ""products"": [{
                    ""Product Name"": ""NA"",
                    ""MRP"": ""NA"",
                    ""Expiry Date"": ""NA"",
                    ""Net Content"": ""70 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/1.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Maggi 2-Minute noodles"",
                    ""MRP"": ""NA"",
                    ""Expiry Date"": ""NA"",
                    ""Net Content"": ""NA"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/2.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Colgate Total Advanced Health Toothpaste"",
                    ""MRP"": ""190.00"",
                    ""Expiry Date"": ""02/26"",
                    ""Net Content"": ""120 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/3.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Maggi"",
                    ""MRP"": ""14.00"",
                    ""Expiry Date"": ""04/25"",
                    ""Net Content"": ""70 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/4.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Maggi"",
                    ""MRP"": ""14.00"",
                    ""Expiry Date"": ""04/25"",
                    ""Net Content"": ""NA"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/5.jpg
"{
                ""products"": [{
                    ""Product Name"": ""NA"",
                    ""MRP"": ""14.00"",
                    ""Expiry Date"": ""04/25"",
                    ""Net Content"": ""70 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/6.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Colgate Total Adnvanced Health Toothpaste"",
                    ""MRP"": ""NA"",
                    ""Expiry Date"": ""NA"",
                    ""Net Content"": ""NA"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/7.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Colgate Total Adnvanced Health Toothpaste"",
                    ""MRP"": ""190.00"",
                    ""Expiry Date"": ""02/26"",
                    ""Net Content"": ""120 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/8.jpg
"{
                ""products"": [{
                    ""Product Name"": ""NA"",
                    ""MRP"": ""70.00"",
                    ""Expiry Date"": 08/26"",
                    ""Net Content"": ""115 g"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/9.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Colgate Strong Teeth"",
                    ""MRP"": ""NA"",
                    ""Expiry Date"": ""NA"",
                    ""Net Content"": ""NA"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/10.jpg
"{
                ""products"": [{
                    ""Product Name"": ""Kissan Mixed Fruit Jam"",
                    ""MRP"": ""NA"",
                    ""Expiry Date"": ""NA"",
                    ""Net Content"": ""NA"",
                    ""Quantity"": 1
                }]
            }",https://raw.githubusercontent.com/AnamtaRehman/dataset/refs/heads/main/11.jpg
